cantidad,direccion_proveedor,fecha_modificacion,fecha_vencimiento,id,nombre_descripcion,numero_proveedor,proveedor,stock_maximo,stock_minimo,unidades
111,Cra. 42 #22-32 ,1665440625,1670428211,1,Yams,+57 362 6262026,Brainverse,191,24,u
45,Cra. 22 #32-42 ,1664594933,1667702322,2,"Chilli Paste, Hot Sambal Oelek",+57 342 9282529,Jabbersphere,181,23,kg
132,Cra. 82 #92-12 ,1666382104,1669702244,3,"Napkin - Cocktail,beige 2 - Ply",+57 352 1202920,Centizu,199,24,u
58,Cra. 52 #62-52 ,1666484191,1669596606,4,"Wine - Red, Concha Y Toro",+57 332 4262623,Flashdog,190,25,u
143,Cra. 92 #92-82 ,1665767647,1670661991,5,Lighter - Bbq,+57 372 0292827,Demizz,191,24,u
113,Cra. 02 #92-22 ,1665431830,1669385542,6,Lamb - Bones,+57 342 0202126,Rhyloo,195,24,u
91,Cra. 52 #02-12 ,1666843075,1671589253,7,Tea - Herbal - 6 Asst,+57 382 4272527,Katz,187,22,b
47,Cra. 02 #42-82 ,1666116416,1668502044,8,Ice Cream Bar - Oreo Cone,+57 372 6262726,Podcat,185,24,u
123,Cra. 72 #32-42 ,1666208633,1667965480,9,Muffin - Banana Nut Individual,+57 302 3272422,Gabvine,187,20,u
28,Cra. 12 #32-12 ,1665261678,1669303333,10,Tomatoes - Cherry,+57 312 8272025,Cogilith,196,23,kg
157,Cra. 92 #92-32 ,1664650951,1668021396,11,"Pasta - Tortellini, Fresh",+57 352 4242523,Mynte,186,21,u
150,Cra. 92 #62-52 ,1665757225,1671823668,12,Cinnamon Rolls,+57 362 5252225,Realcube,185,21,u
102,Cra. 72 #32-32 ,1665388814,1670706293,13,Soup - Campbells Beef Noodle,+57 342 9242228,Livetube,199,22,u
116,Cra. 92 #62-62 ,1665654798,1670337130,14,"Trout - Hot Smkd, Dbl Fillet",+57 342 9232326,Tanoodle,181,22,lb
25,Cra. 02 #32-82 ,1666896596,1669654701,15,Wine - Sawmill Creek Autumn,+57 332 8202827,Avaveo,192,25,u
73,Cra. 32 #62-72 ,1666244527,1668642840,16,"Lamb - Loin, Trimmed, Boneless",+57 372 5232821,Voonder,180,25,u
45,Cra. 32 #82-42 ,1666568202,1670132794,17,Cake - Bande Of Fruit,+57 372 1292229,Minyx,197,24,b
123,Cra. 72 #82-82 ,1666887936,1668131088,18,Muffin Mix - Carrot,+57 302 0202323,Roombo,183,24,u
53,Cra. 82 #82-82 ,1666864267,1669246196,19,Lid Tray - 16in Dome,+57 362 5282023,Browsecat,182,21,kg
83,Cra. 92 #22-22 ,1664999034,1671074798,20,Sprouts - Onion,+57 302 5222128,Midel,197,25,kg
180,Cra. 72 #42-62 ,1666346784,1667519605,21,Mousse - Banana Chocolate,+57 362 3262826,Skipstorm,192,24,kg
105,Cra. 12 #02-72 ,1666305147,1667756433,22,Pickles - Gherkins,+57 302 1232920,Yodo,188,25,b
153,Cra. 92 #32-42 ,1665356254,1671443823,23,Snapple - Iced Tea Peach,+57 392 5282629,Ailane,194,24,b
175,Cra. 62 #92-52 ,1664902201,1671995449,24,Wine - Merlot Vina Carmen,+57 382 7282724,Meembee,193,24,kg
174,Cra. 02 #92-02 ,1666198391,1668374152,25,Tomato - Plum With Basil,+57 302 1272428,Jazzy,185,24,b
30,Cra. 32 #22-02 ,1665076035,1671227408,26,Rootbeer,+57 312 3202323,Thoughtbridge,190,22,kg
128,Cra. 52 #12-82 ,1665206438,1670740363,27,Lobster - Canned Premium,+57 342 7242521,Vinder,188,21,b
31,Cra. 82 #62-62 ,1666871309,1672236846,28,Wine - Valpolicella Masi,+57 362 7202823,Shufflester,180,22,u
141,Cra. 82 #72-92 ,1664633121,1669931210,29,"Bread - Dark Rye, Loaf",+57 392 9202327,Fliptune,191,25,b
60,Cra. 82 #62-32 ,1666750834,1672360105,30,Bread - Kimel Stick Poly,+57 302 0202227,Blogtag,189,25,u
68,Cra. 32 #92-62 ,1666091333,1668231152,31,Soupfoamcont12oz 112con,+57 302 6212726,Devpulse,186,23,u
55,Cra. 42 #92-12 ,1667159942,1668639645,32,"Carrots - Purple, Organic",+57 382 0222120,Voonyx,189,22,u
136,Cra. 22 #02-12 ,1664829207,1667450484,33,Melon - Honey Dew,+57 302 8222429,Wordware,189,24,lb
36,Cra. 72 #52-32 ,1666843940,1668855901,34,Compound - Mocha,+57 372 7262629,Twiyo,186,22,b
160,Cra. 32 #32-12 ,1666242905,1670720925,35,Wine - Periguita Fonseca,+57 302 1252225,Ozu,180,23,u
42,Cra. 22 #92-72 ,1666394120,1668387503,36,Creme De Cacao Mcguines,+57 382 3282924,Photofeed,194,22,u
179,Cra. 82 #72-92 ,1666691125,1670535560,37,Sauce - Ranch Dressing,+57 362 6232420,Skipstorm,200,24,lb
68,Cra. 42 #82-42 ,1664980843,1667930233,38,Tomatoes - Hot House,+57 392 8212921,Layo,188,23,kg
106,Cra. 82 #12-42 ,1666715265,1670603224,39,Madeira,+57 332 1202924,Skyvu,191,21,lb
61,Cra. 72 #32-02 ,1664826018,1670526264,40,Appetizer - Seafood Assortment,+57 302 8202125,Thoughtblab,199,21,u
30,Cra. 12 #82-32 ,1666063305,1671739985,41,Mustard - Pommery,+57 312 4242126,Plambee,188,25,u
170,Cra. 22 #82-72 ,1665453884,1670289089,42,Eggplant - Baby,+57 382 2242824,Wikido,196,25,lb
27,Cra. 82 #72-52 ,1665329280,1671991613,43,Cake - Lemon Chiffon,+57 332 6232321,Photojam,192,21,b
66,Cra. 72 #62-02 ,1665689149,1669105773,44,"Juice - Pineapple, 341 Ml",+57 342 1282826,Zoonder,189,21,u
55,Cra. 62 #12-02 ,1665444546,1668618287,45,Sesame Seed Black,+57 332 6272721,Thoughtblab,180,21,b
180,Cra. 72 #22-12 ,1665905687,1667286474,46,Cookies - Fortune,+57 382 3262424,Skiba,181,25,u
77,Cra. 42 #22-72 ,1665216896,1670004607,47,Snapple - Iced Tea Peach,+57 352 7292320,Skiba,196,23,kg
158,Cra. 42 #52-72 ,1664867346,1670668744,48,"Seedlings - Buckwheat, Organic",+57 362 6242225,Tagcat,193,20,u
72,Cra. 82 #72-02 ,1666540897,1670454206,49,"Nut - Cashews, Whole, Raw",+57 322 4242720,Dazzlesphere,185,24,b
129,Cra. 12 #92-42 ,1665507954,1667901062,50,Gingerale - Diet - Schweppes,+57 332 6232622,Eare,180,20,u
134,Cra. 52 #22-72 ,1666470085,1671185571,51,"Brandy - Orange, Mc Guiness",+57 352 9292125,Wikido,181,23,u
37,Cra. 22 #62-12 ,1664930653,1667658721,52,Huck Towels White,+57 332 0212420,Tagchat,197,25,u
141,Cra. 02 #52-92 ,1664779759,1668303218,53,Rice - Jasmine Sented,+57 302 2242027,Muxo,197,23,u
65,Cra. 32 #32-62 ,1665637429,1671753941,54,Wine - Gewurztraminer Pierre,+57 382 8242121,JumpXS,183,23,u
98,Cra. 82 #82-62 ,1665321160,1670116915,55,"Chicken - Base, Ultimate",+57 322 7272224,Youopia,199,25,u
122,Cra. 62 #32-22 ,1666314547,1667413420,56,Scallops 60/80 Iqf,+57 342 8292725,Agivu,194,20,lb
67,Cra. 12 #42-72 ,1664822084,1671544952,57,Wine - Two Oceans Cabernet,+57 302 1292628,Photobug,194,20,u
28,Cra. 42 #32-02 ,1665737917,1671275879,58,"Marsala - Sperone, Fine, D.o.c.",+57 392 7242022,Feednation,199,21,kg
50,Cra. 92 #32-72 ,1665140380,1669326928,59,Steampan - Lid For Half Size,+57 372 4232220,Skinte,194,24,b
51,Cra. 82 #72-32 ,1665036332,1671635883,60,Wine La Vielle Ferme Cote Du,+57 362 3212623,Livetube,187,22,b
31,Cra. 32 #82-52 ,1665716165,1667571047,61,"Soup - Campbells, Minestrone",+57 322 1252225,Yozio,191,23,u
109,Cra. 12 #72-22 ,1667017461,1669267116,62,Sprouts - Bean,+57 362 0282824,Oyondu,195,21,u
46,Cra. 62 #82-02 ,1664920781,1671953342,63,Triple Sec - Mcguinness,+57 362 9212924,Voonder,186,23,lb
75,Cra. 02 #22-62 ,1665150805,1670002421,64,"Quail - Eggs, Fresh",+57 312 8202820,Photospace,189,24,u
105,Cra. 42 #12-02 ,1665760969,1671063124,65,Scallops - In Shell,+57 372 7292828,Ooba,183,23,u
122,Cra. 42 #02-72 ,1666879701,1668894782,66,"Pork - Tenderloin, Frozen",+57 352 7212329,Jatri,180,25,b
125,Cra. 92 #12-92 ,1666018434,1672053981,67,"Pasta - Lasagna, Dry",+57 372 9242523,Meevee,193,25,b
41,Cra. 02 #62-22 ,1666113328,1671785723,68,"Napkin - Beverge, White 2 - Ply",+57 302 6202020,Pixonyx,183,22,b
45,Cra. 82 #62-72 ,1665903687,1669766997,69,Sprouts - Bean,+57 362 4212929,Realcube,187,24,b
72,Cra. 12 #72-52 ,1666842106,1667521212,70,Uniform Linen Charge,+57 342 2262322,Zoomlounge,200,21,b
61,Cra. 02 #12-62 ,1666912141,1667798926,71,"C - Plus, Orange",+57 392 5262529,Fivechat,186,23,u
47,Cra. 22 #62-52 ,1666432673,1671693614,72,Pie Filling - Pumpkin,+57 302 0242125,Thoughtbridge,181,22,b
153,Cra. 82 #92-52 ,1667030659,1670954169,73,"Pork - Ham, Virginia",+57 312 0272529,Jabbercube,186,25,u
121,Cra. 82 #42-92 ,1666149132,1668201765,74,"Artichoke - Hearts, Canned",+57 322 6222329,Agivu,188,20,u
44,Cra. 82 #62-52 ,1665827518,1670722797,75,Ham - Cooked Bayonne Tinned,+57 382 1232321,Yakijo,186,24,b
126,Cra. 12 #52-02 ,1665859896,1670755681,76,Tomato - Plum With Basil,+57 362 6292823,Bluejam,188,22,kg
121,Cra. 42 #22-02 ,1666204266,1670104833,77,Ginger - Pickled,+57 302 8222925,Fliptune,180,22,u
145,Cra. 82 #02-52 ,1665389784,1670642380,78,Quail - Jumbo Boneless,+57 372 4242924,Tagopia,199,22,b
160,Cra. 62 #82-22 ,1665910085,1672244445,79,Country Roll,+57 312 6262425,Lazz,198,21,u
155,Cra. 72 #82-82 ,1664997313,1671848380,80,Nantucket - Orange Mango Cktl,+57 322 9232125,Twitternation,198,25,u
42,Cra. 72 #02-62 ,1665015630,1669545084,81,Cocktail Napkin Blue,+57 302 1282027,Dabtype,181,24,u
158,Cra. 02 #52-02 ,1665734879,1671977019,82,"Flour - Corn, Fine",+57 332 2232729,Gabtune,188,25,kg
68,Cra. 22 #72-22 ,1666204737,1669329279,83,Wine - Rubyport,+57 382 0292627,Muxo,198,23,b
61,Cra. 12 #52-12 ,1666709656,1668107854,84,Pepper - Red Thai,+57 352 2242726,Zoombox,195,20,lb
80,Cra. 42 #32-42 ,1665590992,1671268084,85,Tomatoes Tear Drop,+57 362 4242428,Blogspan,195,23,kg
61,Cra. 82 #62-12 ,1664953543,1668665618,86,Carbonated Water - Orange,+57 322 9212122,Photobug,195,22,u
96,Cra. 32 #42-32 ,1664739687,1669619476,87,Toothpick Frilled,+57 352 9252624,Myworks,180,24,u
57,Cra. 42 #12-12 ,1665966738,1669645780,88,Bread - Kimel Stick Poly,+57 392 1232021,Realcube,197,21,u
117,Cra. 22 #32-72 ,1666597581,1667906216,89,Energy Drink - Franks Original,+57 302 6242723,Plambee,182,25,u
168,Cra. 12 #62-92 ,1667080915,1667479701,90,Coffee - Cafe Moreno,+57 322 6232122,Teklist,200,21,kg
91,Cra. 82 #82-42 ,1665410385,1671556650,91,Barramundi,+57 322 1252420,Oozz,184,23,u
125,Cra. 92 #62-92 ,1665723107,1669368188,92,Table Cloth 91x91 Colour,+57 332 8202420,Jabbersphere,198,21,u
79,Cra. 82 #92-12 ,1666741027,1671521861,93,Lychee - Canned,+57 322 2222029,Vinte,192,20,lb
98,Cra. 02 #12-02 ,1665236286,1670576604,94,Gelatine Leaves - Bulk,+57 302 1292020,Livepath,191,22,b
35,Cra. 72 #22-22 ,1667171884,1668901056,95,Beer - Guiness,+57 342 2222426,Chatterbridge,199,21,kg
49,Cra. 12 #02-22 ,1666616614,1671121915,96,Goldschalger,+57 342 0212420,Eimbee,192,24,u
35,Cra. 02 #72-12 ,1665147599,1669883546,97,"Bread - White, Sliced",+57 362 4282029,Trunyx,189,20,u
154,Cra. 92 #62-92 ,1664864387,1670648806,98,"Glass - Wine, Plastic, Clear 5 Oz",+57 312 5262225,Flipopia,186,25,lb
154,Cra. 92 #52-72 ,1664946586,1670195350,99,Beef - Short Ribs,+57 362 0292626,Kwimbee,193,25,u
154,Cra. 92 #82-72 ,1664888312,1669553202,100,Bar - Granola Trail Mix Fruit Nut,+57 302 8292628,Ntags,193,24,u
41,Cra. 82 #72-62 ,1665189715,1667508353,101,"Nut - Almond, Blanched, Whole",+57 332 1252126,BlogXS,197,20,u
169,Cra. 02 #42-82 ,1665615641,1667370972,102,Spinach - Packaged,+57 352 8282222,Jaloo,197,25,b
30,Cra. 72 #12-82 ,1666193240,1671251862,103,Oil - Macadamia,+57 372 4202520,Skiptube,184,23,lb
88,Cra. 52 #52-72 ,1665279125,1669457739,104,"Wine - Magnotta - Red, Baco",+57 352 7242320,Aivee,191,25,b
69,Cra. 52 #72-92 ,1665368895,1671457997,105,"Lemonade - Black Cherry, 591 Ml",+57 382 9222820,Jaxnation,198,20,u
47,Cra. 62 #52-92 ,1666989753,1668340995,106,Sweet Pea Sprouts,+57 362 5282521,Devshare,194,20,b
123,Cra. 22 #42-72 ,1665132669,1672437744,107,Beef Ground Medium,+57 372 1282928,Edgetag,181,20,u
73,Cra. 72 #12-12 ,1665309741,1669963941,108,Chervil - Fresh,+57 332 4252525,Tagopia,192,20,b
81,Cra. 92 #82-62 ,1665140476,1668006828,109,Clam Nectar,+57 362 9252722,Plajo,187,21,lb
91,Cra. 02 #02-92 ,1666238908,1669873629,110,Petite Baguette,+57 352 0252828,Topiclounge,198,23,u
34,Cra. 62 #02-62 ,1666233695,1671313722,111,"Mushroom - Trumpet, Dry",+57 362 2232324,Jetpulse,189,23,lb
118,Cra. 52 #92-92 ,1664963867,1667366540,112,Tomatoes Tear Drop Yellow,+57 372 7202922,Latz,198,20,u
66,Cra. 82 #22-72 ,1664610495,1667852133,113,Onion Powder,+57 322 6262224,Skinte,188,25,u
52,Cra. 42 #92-02 ,1666846621,1671246300,114,"Lamb - Leg, Boneless",+57 352 9222426,Leexo,196,24,b
151,Cra. 32 #62-32 ,1665574925,1668812969,115,Pork - Backfat,+57 382 4282724,Trilia,185,25,u
95,Cra. 32 #52-12 ,1665011857,1668604242,116,Vol Au Vents,+57 372 8262020,Skivee,191,24,b
156,Cra. 62 #92-12 ,1667036530,1668935663,117,Wine - Manischewitz Concord,+57 382 7292924,Skiptube,198,22,b
111,Cra. 72 #22-82 ,1666746678,1667540644,118,Pork - Liver,+57 302 1232027,Babbleopia,194,21,u
61,Cra. 92 #22-62 ,1665716927,1670169653,119,Oil - Sesame,+57 382 5282729,Browsetype,194,22,b
110,Cra. 22 #92-32 ,1666443961,1670127405,120,Pants Custom Dry Clean,+57 322 8222423,Wikizz,183,24,u
139,Cra. 52 #52-72 ,1664907273,1668036394,121,Peach - Fresh,+57 392 0292028,Thoughtstorm,180,23,b
101,Cra. 92 #22-52 ,1666001083,1671502926,122,Pepper - Orange,+57 372 5272623,Livetube,180,23,b
30,Cra. 42 #12-52 ,1665294764,1668918196,123,Worcestershire Sauce,+57 322 6222926,Flashpoint,190,22,u
93,Cra. 62 #22-42 ,1665310473,1671548122,124,Tia Maria,+57 362 2252027,Tagopia,187,21,u
106,Cra. 52 #32-42 ,1666332525,1667792189,125,Quail - Jumbo,+57 352 2242827,Wikivu,196,24,u
39,Cra. 62 #82-22 ,1665052380,1669409307,126,Wine - Sauvignon Blanc,+57 302 9202521,Buzzster,194,21,kg
139,Cra. 22 #82-22 ,1665717917,1671865078,127,"Wine - White, Riesling, Henry Of",+57 352 6202220,Twimm,190,23,u
100,Cra. 12 #52-12 ,1666690234,1671344770,128,Poppy Seed,+57 302 6282924,Rhynoodle,185,25,lb
144,Cra. 22 #72-72 ,1665817133,1669571538,129,"Oil - Shortening,liqud, Fry",+57 372 1292125,Quatz,180,25,u
161,Cra. 82 #62-92 ,1666670481,1669168198,130,Coffee Cup 16oz Foam,+57 312 5212322,Mybuzz,190,22,b
30,Cra. 42 #22-22 ,1665567148,1668464665,131,"Soup - Knorr, French Onion",+57 382 7222327,Viva,185,24,b
45,Cra. 02 #92-72 ,1665365928,1672348154,132,"Vermouth - Sweet, Cinzano",+57 332 5262220,Feednation,194,24,lb
157,Cra. 92 #02-42 ,1666673986,1668520207,133,"Doilies - 7, Paper",+57 362 6282423,Skyba,186,23,u
157,Cra. 52 #12-42 ,1666089578,1669884592,134,Crab Meat Claw Pasteurise,+57 382 7292923,Yakitri,197,22,b
177,Cra. 22 #82-92 ,1664707325,1672076147,135,Lychee,+57 302 6222121,Buzzdog,197,23,kg
123,Cra. 02 #12-72 ,1666500864,1667797514,136,"Melon - Watermelon, Seedless",+57 372 2272129,Lazzy,186,21,u
102,Cra. 12 #52-22 ,1664731918,1668016328,137,Wine - Sawmill Creek Autumn,+57 362 1272327,Kazio,197,20,u
116,Cra. 32 #82-32 ,1666536212,1671623827,138,Container - Clear 32 Oz,+57 342 8262223,Babbleblab,199,23,b
89,Cra. 72 #12-62 ,1665774096,1669755802,139,Napkin White,+57 382 3272320,Flipstorm,185,23,kg
148,Cra. 42 #32-02 ,1666018703,1669041414,140,"Beef - Ground, Extra Lean, Fresh",+57 332 6282421,Zoomzone,190,21,lb
146,Cra. 02 #92-22 ,1666980004,1671168276,141,"Beef - Outside, Round",+57 322 7262729,Gigaclub,190,23,u
65,Cra. 22 #92-82 ,1666312733,1668258930,142,Cheese - Parmesan Cubes,+57 342 1212223,Zoomcast,180,22,lb
141,Cra. 12 #92-12 ,1664606749,1668030640,143,Wine - Touraine Azay - Le - Rideau,+57 392 1262223,Jabberbean,199,23,b
174,Cra. 72 #92-02 ,1665950559,1672404370,144,Pastry - French Mini Assorted,+57 342 4232728,Cogilith,190,25,u
85,Cra. 02 #22-52 ,1665259656,1671288120,145,Dill Weed - Dry,+57 362 3262523,Meedoo,192,22,lb
123,Cra. 62 #82-02 ,1666235641,1671492069,146,Shrimp - Tiger 21/25,+57 302 8292823,Dynabox,192,25,u
48,Cra. 82 #62-52 ,1665617132,1668413305,147,Yeast Dry - Fleischman,+57 382 8282320,BlogXS,182,23,u
97,Cra. 22 #12-52 ,1666039369,1668862648,148,Peach - Halves,+57 392 2262724,Npath,199,25,b
